"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,us,us,us,
"GPU activities",52.374613,24.987425,100,249.874000,248.867000,255.299000,"CfAMe_Kernel(double const *, double const *, double const *, double*, double*)"
"GPU activities",35.233071,16.809360,714,23.542000,2.688000,25.664000,"[CUDA memcpy DtoD]"
"GPU activities",12.324100,5.879710,100,58.797000,58.177000,60.160000,"computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)"
"GPU activities",0.045746,0.021825,2,10.912000,4.320000,17.505000,"reduceKernel(double const *, double*, int)"
"GPU activities",0.017707,0.008448,6,1.408000,1.312000,1.792000,"[CUDA memcpy HtoD]"
"GPU activities",0.004762,0.002272,1,2.272000,2.272000,2.272000,"[CUDA memcpy DtoH]"

"Device","Count","Avg Size","Min Size","Max Size","Total Size","Total Time",""
"NVIDIA GeForce GTX 980 (0)",204,19.979492KB,4.000000KB,1.492188MB,3.980469MB,0.000000,"Host To Device"
"NVIDIA GeForce GTX 980 (0)",2851,23.844727KB,4.000000KB,508.000000KB,66.390625MB,0.000000,"Device To Host"
Total CPU Page faults: 967
