"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",100,"flop_count_dp","Floating Point Operations(Double Precision)",834,1580,1536
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",100,"flop_count_sp","Floating Point Operations(Single Precision)",48,64,53
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",100,"gld_transactions","Global Load Transactions",199842,200130,200088
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",100,"gst_transactions","Global Store Transactions",19,32,30
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",100,"atomic_transactions","Atomic Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",100,"local_load_transactions","Local Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",100,"local_store_transactions","Local Store Transactions",3,16,14
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",100,"shared_load_transactions","Shared Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",100,"shared_store_transactions","Shared Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",100,"l2_read_transactions","L2 Read Transactions",53831,54749,54306
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",100,"l2_write_transactions","L2 Write Transactions",28,54,50
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",100,"dram_read_transactions","Device Memory Read Transactions",48922,49660,49343
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",100,"dram_write_transactions","Device Memory Write Transactions",21758,23629,23110
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",100,"flop_count_dp","Floating Point Operations(Double Precision)",9543733,9543876,9543856
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",100,"flop_count_sp","Floating Point Operations(Single Precision)",10,36,32
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",100,"gld_transactions","Global Load Transactions",5152514,5152514,5152514
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",100,"gst_transactions","Global Store Transactions",8,18,16
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",100,"atomic_transactions","Atomic Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",100,"local_load_transactions","Local Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",100,"local_store_transactions","Local Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",100,"shared_load_transactions","Shared Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",100,"shared_store_transactions","Shared Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",100,"l2_read_transactions","L2 Read Transactions",1391415,1392083,1391651
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",100,"l2_write_transactions","L2 Write Transactions",14,39,23
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",100,"dram_read_transactions","Device Memory Read Transactions",496583,503577,500271
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",100,"dram_write_transactions","Device Memory Write Transactions",26892,32493,31249
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"flop_count_dp","Floating Point Operations(Double Precision)",58,58,58
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"flop_count_sp","Floating Point Operations(Single Precision)",8,8,8
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"gld_transactions","Global Load Transactions",598755,598755,598755
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"gst_transactions","Global Store Transactions",161004,161004,161004
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"atomic_transactions","Atomic Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"local_load_transactions","Local Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"local_store_transactions","Local Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"shared_load_transactions","Shared Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"shared_store_transactions","Shared Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"l2_read_transactions","L2 Read Transactions",160526,164756,160804
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"l2_write_transactions","L2 Write Transactions",161010,161010,161010
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"dram_read_transactions","Device Memory Read Transactions",146581,148777,146688
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"dram_write_transactions","Device Memory Write Transactions",141109,147455,146011
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"flop_count_dp","Floating Point Operations(Double Precision)",510,244322,122416
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"gld_transactions","Global Load Transactions",386,195434,97910
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"gst_transactions","Global Store Transactions",1,382,191
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"atomic_transactions","Atomic Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"local_load_transactions","Local Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"local_store_transactions","Local Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"shared_load_transactions","Shared Load Transactions",49,18718,9383
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"shared_store_transactions","Shared Store Transactions",40,15280,7660
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"l2_read_transactions","L2 Read Transactions",119,48928,24523
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"l2_write_transactions","L2 Write Transactions",7,388,197
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"dram_read_transactions","Device Memory Read Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"dram_write_transactions","Device Memory Write Transactions",0,0,0
