"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",100,"flop_count_dp","Floating Point Operations(Double Precision)",834,152851,77999
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",100,"flop_count_sp","Floating Point Operations(Single Precision)",48,8636,4387
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",100,"gld_transactions","Global Load Transactions",199842,221730,212487
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",100,"gst_transactions","Global Store Transactions",19,1220,649
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",100,"atomic_transactions","Atomic Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",100,"local_load_transactions","Local Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",100,"local_store_transactions","Local Store Transactions",3,205,114
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",100,"shared_load_transactions","Shared Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",100,"shared_store_transactions","Shared Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",100,"l2_read_transactions","L2 Read Transactions",58619,63445,60394
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",100,"l2_write_transactions","L2 Write Transactions",28,1428,770
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",100,"dram_read_transactions","Device Memory Read Transactions",49056,49921,49440
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",100,"dram_write_transactions","Device Memory Write Transactions",22974,25193,24576
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",100,"flop_count_dp","Floating Point Operations(Double Precision)",9543733,9548155,9545975
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",100,"flop_count_sp","Floating Point Operations(Single Precision)",10,814,417
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",100,"gld_transactions","Global Load Transactions",5152514,5152514,5152514
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",100,"gst_transactions","Global Store Transactions",8,268,145
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",100,"atomic_transactions","Atomic Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",100,"local_load_transactions","Local Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",100,"local_store_transactions","Local Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",100,"shared_load_transactions","Shared Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",100,"shared_store_transactions","Shared Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",100,"l2_read_transactions","L2 Read Transactions",1509127,1509843,1509224
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",100,"l2_write_transactions","L2 Write Transactions",14,274,151
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",100,"dram_read_transactions","Device Memory Read Transactions",495642,507855,503224
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",100,"dram_write_transactions","Device Memory Write Transactions",30368,32599,32245
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"flop_count_dp","Floating Point Operations(Double Precision)",145,11803,6057
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"flop_count_sp","Floating Point Operations(Single Precision)",20,1628,835
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"gld_transactions","Global Load Transactions",598758,598827,598797
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"gst_transactions","Global Store Transactions",174588,174590,174588
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"atomic_transactions","Atomic Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"local_load_transactions","Local Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"local_store_transactions","Local Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"shared_load_transactions","Shared Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"shared_store_transactions","Shared Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"l2_read_transactions","L2 Read Transactions",173574,174678,173959
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"l2_write_transactions","L2 Write Transactions",174594,174596,174594
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"dram_read_transactions","Device Memory Read Transactions",146596,146875,146671
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"dram_write_transactions","Device Memory Write Transactions",147527,149547,148610
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"flop_count_dp","Floating Point Operations(Double Precision)",510,244322,122416
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"gld_transactions","Global Load Transactions",386,195434,97910
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"gst_transactions","Global Store Transactions",1,382,191
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"atomic_transactions","Atomic Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"local_load_transactions","Local Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"local_store_transactions","Local Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"shared_load_transactions","Shared Load Transactions",49,18718,9383
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"shared_store_transactions","Shared Store Transactions",40,15280,7660
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"l2_read_transactions","L2 Read Transactions",119,48928,24523
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"l2_write_transactions","L2 Write Transactions",7,388,197
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"dram_read_transactions","Device Memory Read Transactions",0,24453,12226
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"dram_write_transactions","Device Memory Write Transactions",16,6261,3138
