"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",100,"flop_count_dp","Floating Point Operations(Double Precision)",9543733,9548155,9545975
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",100,"flop_count_sp","Floating Point Operations(Single Precision)",10,814,417
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",100,"gld_transactions","Global Load Transactions",2823586,2823586,2823586
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",100,"gst_transactions","Global Store Transactions",8,244,130
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",100,"atomic_transactions","Atomic Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",100,"local_load_transactions","Local Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",100,"local_store_transactions","Local Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",100,"shared_load_transactions","Shared Load Transactions",314364,314364,314364
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",100,"shared_store_transactions","Shared Store Transactions",128520,128520,128520
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",100,"l2_read_transactions","L2 Read Transactions",683273,684261,683546
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",100,"l2_write_transactions","L2 Write Transactions",14,250,136
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",100,"dram_read_transactions","Device Memory Read Transactions",490488,491292,490839
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",100,"dram_write_transactions","Device Memory Write Transactions",30823,32753,32185
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",100,"flop_count_dp","Floating Point Operations(Double Precision)",834,152851,77999
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",100,"flop_count_sp","Floating Point Operations(Single Precision)",48,8636,4387
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",100,"gld_transactions","Global Load Transactions",598850,610930,605663
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",100,"gst_transactions","Global Store Transactions",19,1124,595
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",100,"atomic_transactions","Atomic Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",100,"local_load_transactions","Local Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",100,"local_store_transactions","Local Store Transactions",3,205,114
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",100,"shared_load_transactions","Shared Load Transactions",12872,13860,13415
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",100,"shared_store_transactions","Shared Store Transactions",38556,38556,38556
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",100,"l2_read_transactions","L2 Read Transactions",161127,164547,162082
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",100,"l2_write_transactions","L2 Write Transactions",28,1332,716
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",100,"dram_read_transactions","Device Memory Read Transactions",146599,147482,147014
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",100,"dram_write_transactions","Device Memory Write Transactions",29819,32073,31587
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"flop_count_dp","Floating Point Operations(Double Precision)",145,11803,6057
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"flop_count_sp","Floating Point Operations(Single Precision)",20,1628,835
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"gld_transactions","Global Load Transactions",598758,598827,598797
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"gst_transactions","Global Store Transactions",161004,161006,161004
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"atomic_transactions","Atomic Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"local_load_transactions","Local Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"local_store_transactions","Local Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"shared_load_transactions","Shared Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"shared_store_transactions","Shared Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"l2_read_transactions","L2 Read Transactions",160539,161453,160777
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"l2_write_transactions","L2 Write Transactions",161010,161012,161010
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"dram_read_transactions","Device Memory Read Transactions",146595,146828,146666
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"dram_write_transactions","Device Memory Write Transactions",145037,147268,146480
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"flop_count_dp","Floating Point Operations(Double Precision)",510,244322,122416
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"gld_transactions","Global Load Transactions",386,195434,97910
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"gst_transactions","Global Store Transactions",1,382,191
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"atomic_transactions","Atomic Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"local_load_transactions","Local Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"local_store_transactions","Local Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"shared_load_transactions","Shared Load Transactions",49,18718,9383
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"shared_store_transactions","Shared Store Transactions",40,15280,7660
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"l2_read_transactions","L2 Read Transactions",171,49124,24647
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"l2_write_transactions","L2 Write Transactions",7,388,197
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"dram_read_transactions","Device Memory Read Transactions",12,24453,12232
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"dram_write_transactions","Device Memory Write Transactions",0,64,32
