"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,us,us,us,
"GPU activities",40.248982,20.251730,100,202.517000,196.001000,210.497000,"massBalance_Tiled(double*, double*, double*, double*, double*)"
"GPU activities",36.934450,18.583986,814,22.830000,2.688000,25.536000,"[CUDA memcpy DtoD]"
"GPU activities",11.473919,5.773232,100,57.732000,57.056000,58.784000,"computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)"
"GPU activities",11.277461,5.674382,100,56.743000,46.369000,65.248000,"computeOutflows_Tiled(double*, double*, double*, double*)"
"GPU activities",0.043819,0.022048,2,11.024000,4.224000,17.824000,"reduceKernel(double const *, double*, int)"
"GPU activities",0.016853,0.008480,6,1.413000,1.312000,1.760000,"[CUDA memcpy HtoD]"
"GPU activities",0.004515,0.002272,1,2.272000,2.272000,2.272000,"[CUDA memcpy DtoH]"

"Device","Count","Avg Size","Min Size","Max Size","Total Size","Total Time",""
"NVIDIA GeForce GTX 980 (0)",204,19.979492KB,4.000000KB,1.492188MB,3.980469MB,0.000000,"Host To Device"
"NVIDIA GeForce GTX 980 (0)",3451,23.408203KB,4.000000KB,508.000000KB,78.890625MB,0.000000,"Device To Host"
Total CPU Page faults: 1167
