"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",100,"flop_count_dp","Floating Point Operations(Double Precision)",9543733,9548155,9545975
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",100,"flop_count_sp","Floating Point Operations(Single Precision)",10,814,417
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",100,"gld_transactions","Global Load Transactions",3252898,3252898,3252898
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",100,"gst_transactions","Global Store Transactions",8,268,145
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",100,"atomic_transactions","Atomic Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",100,"local_load_transactions","Local Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",100,"local_store_transactions","Local Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",100,"shared_load_transactions","Shared Load Transactions",324324,324324,324324
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",100,"shared_store_transactions","Shared Store Transactions",124740,124740,124740
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",100,"l2_read_transactions","L2 Read Transactions",763657,764661,763856
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",100,"l2_write_transactions","L2 Write Transactions",14,274,151
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",100,"dram_read_transactions","Device Memory Read Transactions",492507,493473,493102
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",100,"dram_write_transactions","Device Memory Write Transactions",26518,32603,31940
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",100,"flop_count_dp","Floating Point Operations(Double Precision)",834,152851,77999
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",100,"flop_count_sp","Floating Point Operations(Single Precision)",48,8636,4387
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",100,"gld_transactions","Global Load Transactions",598850,612034,606254
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",100,"gst_transactions","Global Store Transactions",19,1220,649
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",100,"atomic_transactions","Atomic Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",100,"local_load_transactions","Local Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",100,"local_store_transactions","Local Store Transactions",3,205,114
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",100,"shared_load_transactions","Shared Load Transactions",12494,13342,12977
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",100,"shared_store_transactions","Shared Store Transactions",37422,37422,37422
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",100,"l2_read_transactions","L2 Read Transactions",174773,178081,175790
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",100,"l2_write_transactions","L2 Write Transactions",28,1428,770
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",100,"dram_read_transactions","Device Memory Read Transactions",146643,147509,147058
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",100,"dram_write_transactions","Device Memory Write Transactions",26465,32024,31291
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"flop_count_dp","Floating Point Operations(Double Precision)",145,11803,6057
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"flop_count_sp","Floating Point Operations(Single Precision)",20,1628,835
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"gld_transactions","Global Load Transactions",598758,598827,598797
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"gst_transactions","Global Store Transactions",174588,174590,174588
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"atomic_transactions","Atomic Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"local_load_transactions","Local Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"local_store_transactions","Local Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"shared_load_transactions","Shared Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"shared_store_transactions","Shared Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"l2_read_transactions","L2 Read Transactions",173421,174693,173968
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"l2_write_transactions","L2 Write Transactions",174594,174596,174594
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"dram_read_transactions","Device Memory Read Transactions",146589,146831,146681
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",100,"dram_write_transactions","Device Memory Write Transactions",143587,149249,148554
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"flop_count_dp","Floating Point Operations(Double Precision)",510,244322,122416
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"gld_transactions","Global Load Transactions",386,195434,97910
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"gst_transactions","Global Store Transactions",1,382,191
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"atomic_transactions","Atomic Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"local_load_transactions","Local Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"local_store_transactions","Local Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"shared_load_transactions","Shared Load Transactions",49,18718,9383
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"shared_store_transactions","Shared Store Transactions",40,15280,7660
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"l2_read_transactions","L2 Read Transactions",167,48928,24547
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"l2_write_transactions","L2 Write Transactions",7,388,197
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"dram_read_transactions","Device Memory Read Transactions",74,30549,15311
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"dram_write_transactions","Device Memory Write Transactions",36,3528,1782
