"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,us,us,us,
"GPU activities",40.201635,20.181504,100,201.815000,187.936000,211.904000,"massBalance_Tiled(double*, double*, double*, double*, double*)"
"GPU activities",37.133694,18.641376,814,22.900000,2.688000,30.208000,"[CUDA memcpy DtoD]"
"GPU activities",11.620936,5.833792,100,58.337000,57.536000,59.456000,"computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)"
"GPU activities",10.980119,5.512097,100,55.120000,46.592000,68.416000,"computeOutflows_Tiled(double*, double*, double*, double*)"
"GPU activities",0.041880,0.021024,2,10.512000,4.064000,16.960000,"reduceKernel(double const *, double*, int)"
"GPU activities",0.017338,0.008704,6,1.450000,1.312000,1.824000,"[CUDA memcpy HtoD]"
"GPU activities",0.004398,0.002208,1,2.208000,2.208000,2.208000,"[CUDA memcpy DtoH]"

"Device","Count","Avg Size","Min Size","Max Size","Total Size","Total Time",""
"NVIDIA GeForce GTX 980 (0)",204,19.979492KB,4.000000KB,1.492188MB,3.980469MB,0.000000,"Host To Device"
"NVIDIA GeForce GTX 980 (0)",3451,23.408203KB,4.000000KB,508.000000KB,78.890625MB,0.000000,"Device To Host"
Total CPU Page faults: 1167
