==79953== NVPROF is profiling process 79953, command: ./sciara_cuda_cfame ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 16000 1000 1.0
==79953== Profiling application: ./sciara_cuda_cfame ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 16000 1000 1.0
==79953== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,us,us,us,
"GPU activities",72.975835,7.716607,16000,482.287000,227.425000,712.867000,"CfAMe_Kernel(double const *, double const *, double const *, double*, double*)"
"GPU activities",17.998861,1.903235,80014,23.786000,2.688000,94.240000,"[CUDA memcpy DtoD]"
"GPU activities",9.021821,0.953985,16000,59.624000,57.056000,72.097000,"computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)"
"GPU activities",0.003138,0.000332,32,10.369000,3.840000,17.376000,"reduceKernel(double const *, double*, int)"
"GPU activities",0.000264,0.000028,16,1.746000,1.600000,2.176000,"[CUDA memcpy DtoH]"
"GPU activities",0.000080,0.000008,6,1.413000,1.312000,1.824000,"[CUDA memcpy HtoD]"

==79953== Unified Memory profiling result:
"Device","Count","Avg Size","Min Size","Max Size","Total Size","Total Time",""
"NVIDIA GeForce GTX 980 (0)",32004,4.101562KB,4.000000KB,1.492188MB,128.199219MB,0.000000,"Host To Device"
"NVIDIA GeForce GTX 980 (0)",384198,21.351562KB,4.000000KB,508.000000KB,7.823318GB,0.000003,"Device To Host"
Total CPU Page faults: 128083
