==80053== NVPROF is profiling process 80053, command: ./sciara_cuda_cfame ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 10 10 1.0
==80053== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==80053== Profiling application: ./sciara_cuda_cfame ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 10 10 1.0
==80053== Profiling result:
==80053== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"NVIDIA GeForce GTX 980 (0)","CfAMe_Kernel(double const *, double const *, double const *, double*, double*)",10,"gld_transactions","Global Load Transactions",2424834,2429842,2427795
"NVIDIA GeForce GTX 980 (0)","CfAMe_Kernel(double const *, double const *, double const *, double*, double*)",10,"gst_transactions","Global Store Transactions",8,40,24
"NVIDIA GeForce GTX 980 (0)","CfAMe_Kernel(double const *, double const *, double const *, double*, double*)",10,"atomic_transactions","Atomic Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","CfAMe_Kernel(double const *, double const *, double const *, double*, double*)",10,"local_load_transactions","Local Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","CfAMe_Kernel(double const *, double const *, double const *, double*, double*)",10,"local_store_transactions","Local Store Transactions",3,37,21
"NVIDIA GeForce GTX 980 (0)","CfAMe_Kernel(double const *, double const *, double const *, double*, double*)",10,"shared_load_transactions","Shared Load Transactions",199584,199584,199584
"NVIDIA GeForce GTX 980 (0)","CfAMe_Kernel(double const *, double const *, double const *, double*, double*)",10,"shared_store_transactions","Shared Store Transactions",378580,378602,378590
"NVIDIA GeForce GTX 980 (0)","CfAMe_Kernel(double const *, double const *, double const *, double*, double*)",10,"l2_read_transactions","L2 Read Transactions",166905,172797,170348
"NVIDIA GeForce GTX 980 (0)","CfAMe_Kernel(double const *, double const *, double const *, double*, double*)",10,"l2_write_transactions","L2 Write Transactions",17,83,52
"NVIDIA GeForce GTX 980 (0)","CfAMe_Kernel(double const *, double const *, double const *, double*, double*)",10,"dram_read_transactions","Device Memory Read Transactions",98298,99642,99249
"NVIDIA GeForce GTX 980 (0)","CfAMe_Kernel(double const *, double const *, double const *, double*, double*)",10,"dram_write_transactions","Device Memory Write Transactions",28425,31668,31144
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",10,"gld_transactions","Global Load Transactions",598758,598770,598764
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",10,"gst_transactions","Global Store Transactions",174588,174588,174588
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",10,"atomic_transactions","Atomic Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",10,"local_load_transactions","Local Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",10,"local_store_transactions","Local Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",10,"shared_load_transactions","Shared Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",10,"shared_store_transactions","Shared Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",10,"l2_read_transactions","L2 Read Transactions",173680,174256,173841
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",10,"l2_write_transactions","L2 Write Transactions",174594,174594,174594
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",10,"dram_read_transactions","Device Memory Read Transactions",146584,146667,146613
