==80121== NVPROF is profiling process 80121, command: ./sciara_cuda_cfamo ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 16000 1000 1.0
==80121== Profiling application: ./sciara_cuda_cfamo ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 16000 1000 1.0
==80121== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,us,us,us,
"GPU activities",56.205911,3.665475,16000,229.092000,130.016000,312.001000,"CfAMo_Kernel(double const *, double const *, double const *, double*, double*)"
"GPU activities",29.171100,1.902397,80014,23.775000,2.688000,44.001000,"[CUDA memcpy DtoD]"
"GPU activities",14.617378,0.953274,16000,59.579000,56.960000,97.184000,"computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)"
"GPU activities",0.005048,0.000329,32,10.287000,3.840000,17.248000,"reduceKernel(double const *, double*, int)"
"GPU activities",0.000432,0.000028,16,1.762000,1.600000,2.464000,"[CUDA memcpy DtoH]"
"GPU activities",0.000131,0.000009,6,1.424000,1.312000,1.792000,"[CUDA memcpy HtoD]"

==80121== Unified Memory profiling result:
"Device","Count","Avg Size","Min Size","Max Size","Total Size","Total Time",""
"NVIDIA GeForce GTX 980 (0)",32004,4.101562KB,4.000000KB,1.492188MB,128.199219MB,0.000000,"Host To Device"
"NVIDIA GeForce GTX 980 (0)",384198,21.351562KB,4.000000KB,508.000000KB,7.823318GB,0.000003,"Device To Host"
Total CPU Page faults: 128083
