==79886== NVPROF is profiling process 79886, command: ./sciara_cuda ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 10 10 1.0
==79886== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==79886== Profiling application: ./sciara_cuda ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 10 10 1.0
==79886== Profiling result:
==79886== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",10,"gld_transactions","Global Load Transactions",199842,203266,201885
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",10,"gst_transactions","Global Store Transactions",19,162,99
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",10,"atomic_transactions","Atomic Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",10,"local_load_transactions","Local Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",10,"local_store_transactions","Local Store Transactions",3,24,15
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",10,"shared_load_transactions","Shared Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",10,"shared_store_transactions","Shared Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",10,"l2_read_transactions","L2 Read Transactions",58417,59029,58648
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",10,"l2_write_transactions","L2 Write Transactions",28,192,120
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",10,"dram_read_transactions","Device Memory Read Transactions",48901,49487,49061
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",10,"dram_write_transactions","Device Memory Write Transactions",23773,24800,24178
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",10,"gld_transactions","Global Load Transactions",5152514,5152514,5152514
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",10,"gst_transactions","Global Store Transactions",8,40,24
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",10,"atomic_transactions","Atomic Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",10,"local_load_transactions","Local Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",10,"local_store_transactions","Local Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",10,"shared_load_transactions","Shared Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",10,"shared_store_transactions","Shared Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",10,"l2_read_transactions","L2 Read Transactions",1509127,1509427,1509157
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",10,"l2_write_transactions","L2 Write Transactions",14,46,30
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",10,"dram_read_transactions","Device Memory Read Transactions",500597,503318,502263
