==80288== NVPROF is profiling process 80288, command: ./sciara_cuda_tiled ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 16000 1000 1.0
==80288== Profiling application: ./sciara_cuda_tiled ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 16000 1000 1.0
==80288== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,us,us,us,
"GPU activities",34.656490,3.206927,16000,200.432000,184.129000,214.977000,"massBalance_Tiled(double*, double*, double*, double*, double*)"
"GPU activities",32.897514,3.044161,128014,23.779000,2.528000,117.056000,"[CUDA memcpy DtoD]"
"GPU activities",22.048498,2.040251,16000,127.515000,43.425000,202.849000,"computeOutflows_Tiled(double*, double*, double*, double*)"
"GPU activities",10.393382,0.961748,16000,60.109000,56.928000,95.424000,"computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)"
"GPU activities",0.003677,0.000340,32,10.633000,3.968000,18.401000,"reduceKernel(double const *, double*, int)"
"GPU activities",0.000348,0.000032,16,2.014000,1.888000,2.464000,"[CUDA memcpy DtoH]"
"GPU activities",0.000091,0.000008,6,1.408000,1.280000,1.760000,"[CUDA memcpy HtoD]"

==80288== Unified Memory profiling result:
"Device","Count","Avg Size","Min Size","Max Size","Total Size","Total Time",""
"NVIDIA GeForce GTX 980 (0)",32004,4.101562KB,4.000000KB,1.492188MB,128.199219MB,0.000000,"Host To Device"
"NVIDIA GeForce GTX 980 (0)",528198,21.346680KB,4.000000KB,508.000000KB,10.753006GB,0.000005,"Device To Host"
Total CPU Page faults: 176083
