==80380== NVPROF is profiling process 80380, command: ./sciara_cuda_tiled ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 10 10 1.0
==80380== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==80380== Profiling application: ./sciara_cuda_tiled ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 10 10 1.0
==80380== Profiling result:
==80380== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",10,"gld_transactions","Global Load Transactions",3252898,3252898,3252898
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",10,"gst_transactions","Global Store Transactions",8,40,24
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",10,"atomic_transactions","Atomic Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",10,"local_load_transactions","Local Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",10,"local_store_transactions","Local Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",10,"shared_load_transactions","Shared Load Transactions",324324,324324,324324
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",10,"shared_store_transactions","Shared Store Transactions",124740,124740,124740
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",10,"l2_read_transactions","L2 Read Transactions",763665,764405,763760
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",10,"l2_write_transactions","L2 Write Transactions",14,46,30
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",10,"dram_read_transactions","Device Memory Read Transactions",493977,494270,494106
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",10,"dram_write_transactions","Device Memory Write Transactions",31175,31957,31583
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",10,"gld_transactions","Global Load Transactions",598850,600482,599838
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",10,"gst_transactions","Global Store Transactions",19,162,99
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",10,"atomic_transactions","Atomic Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",10,"local_load_transactions","Local Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",10,"local_store_transactions","Local Store Transactions",3,24,15
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",10,"shared_load_transactions","Shared Load Transactions",12494,12654,12580
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",10,"shared_store_transactions","Shared Store Transactions",37422,37422,37422
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",10,"l2_read_transactions","L2 Read Transactions",174789,175875,175190
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",10,"l2_write_transactions","L2 Write Transactions",28,192,120
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",10,"dram_read_transactions","Device Memory Read Transactions",146685,147229,146908
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",10,"dram_write_transactions","Device Memory Write Transactions",29794,32111,31482
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",10,"gld_transactions","Global Load Transactions",598758,598770,598764
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",10,"gst_transactions","Global Store Transactions",174588,174588,174588
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",10,"atomic_transactions","Atomic Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",10,"local_load_transactions","Local Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",10,"local_store_transactions","Local Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",10,"shared_load_transactions","Shared Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",10,"shared_store_transactions","Shared Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",10,"l2_read_transactions","L2 Read Transactions",173570,174150,173868
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",10,"l2_write_transactions","L2 Write Transactions",174594,174594,174594
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",10,"dram_read_transactions","Device Memory Read Transactions",146584,146690,146617
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",10,"dram_write_transactions","Device Memory Write Transactions",147844,148650,148272
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"gld_transactions","Global Load Transactions",386,195434,97910
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"gst_transactions","Global Store Transactions",1,382,191
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"atomic_transactions","Atomic Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"local_load_transactions","Local Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"local_store_transactions","Local Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"shared_load_transactions","Shared Load Transactions",49,18718,9383
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"shared_store_transactions","Shared Store Transactions",40,15280,7660
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"l2_read_transactions","L2 Read Transactions",119,49156,24637
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"l2_write_transactions","L2 Write Transactions",7,388,197
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"dram_read_transactions","Device Memory Read Transactions",0,24469,12234
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"dram_write_transactions","Device Memory Write Transactions",0,6503,3251
